<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
Annals of clinical &amp; laboratory science.|99157649370001452|00917370|00917370|
Annals of clinical and translational neurology.|99161467830001452|23289503|23289503|
Annals of clinical biochemistry.|991618199401452|00045632|00045632|
Annals of clinical psychiatry.|99158423230001452|10401237|10401237|
Annals of coloproctology.|99157671460001452|22879714|22879714|
Annals of diagnostic pathology [electronic resource].|99158432310001452|10929134|10929134|
Annals of dyslexia [electronic resource] : [an interdisciplinary journal of the Orton Dyslexia Society].|99157806750001452|07369387|07369387|
Annals of emergency medicine : journal of the American College of Emergency Physicians.|99158435540001452|01960644|01960644|
Annals of epidemiology.|99158435380001452|10472797|10472797|
Annals of family medicine.|99157348450001452|15441709|15441709|
Annals of gastroenterology : quarterly publication of the Hellenic Society of Gastroenterology.|99157430680001452|11087471|11087471|
Annals of general hospital psychiatry [electronic resource].|99157499630001452|14752832|14752832|
Annals of global health.|99161967553701452|22149996|22149996|
Annals of health law.|99158465590001452|10752994|10752994|
Annals of hematology [electronic resource].|99158869240001452|09395555|09395555|
Annals of hepatology : official journal of the Mexican Association of Hepatology.|99157457020001452|16652681|16652681|
Annals of human biology [electronic resource].|99157807070001452|03014460|03014460|
Annals of human genetics.|99157780240001452|00034800|00034800|
Annals of internal medicine.|99157805170001452|00034819|00034819|
Annals of laboratory medicine.|99157671090001452|22343806|22343806|
Annals of medicine [electronic resource].|99158476860001452|07853890|07853890|
Annals of medicine and surgery.|99161268020001452|20490801|20490801|
Annals of neurology.|99158529210001452|03645134|03645134|
Annals of noninvasive electrocardiology.|99158526920001452|1082720X|1082720X|
Annals of nuclear medicine.|99157620420001452|09147187|09147187|
Annals of nutrition &amp; metabolism.|99157770680001452|02506807|02506807|
Annals of oncology [electronic resource].|99157507450001452|09237534|09237534|
Annals of pediatric cardiology [electronic resource].|99157351240001452|09742069|09742069|
Annals of pediatric endocrinology &amp; metabolism.|99157672510001452|22871012|22871012|
Annals of physical and rehabilitation medicine.|99157440570001452|18770657|18770657|
Annals of plastic surgery [electronic resource].|99158507370001452|01487043|01487043|
Annals of science [electronic resource].|99157806370001452|00033790|00033790|
Annals of surgery.|99158505990001452|00034932|00034932|
Annals of surgical oncology [electronic resource].|99158518180001452|10689265|10689265|
Annals of the ICRP [electronic resource].|99161967489601452|01466453|01466453|
Annals of the New York Academy of Sciences [electronic resource].|99157805120001452|00778923|00778923|
Annals of the Royal College of Surgeons of England [electronic resource].|99158475410001452|00358843|00358843|
Annals of the rheumatic diseases [electronic resource].|99157228900001452|00034967|00034967|
Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia.|99157442240001452|13411098|13411098|
Annals of thoracic medicine : ATM.|99157341290001452|18171737|18171737|
Annals of transplantation.|99157478540001452|14259524|14259524|
Annals of tropical medicine and public health.|99157387220001452|17556783|17556783|
Annals of vascular surgery.|99158436010001452|08905096|08905096|
Annual review of analytical chemistry.|99158484210001452|19361327|19361327|
Annual review of animal biosciences.|99161918548801452|21658102|21658102|
Annual review of biochemistry.|99157805930001452|00664154|00664154|
Annual review of biomedical engineering.|99157805040001452|15239829|15239829|
Annual review of biophysics.|99158484140001452|1936122X|1936122X|
Annual review of cell and developmental biology.|99157805960001452|10810706|10810706|
Annual review of chemical and biomolecular engineering [electronic resource].|99158484180001452|19475438|19475438|
Annual review of clinical psychology.|99159910770001452|15485943|15485943|
Annual review of cybertherapy and telemedicine.|99157371670001452|15548716|15548716|
Annual review of entomology [electronic resource].|99157805760001452|00664170|00664170|
Annual review of food science and technology [electronic resource].|99158484200001452|19411413|19411413|
Annual review of genetics [electronic resource].|99157805790001452|00664197|00664197|
Annual review of genomics and human genetics [electronic resource].|99157805320001452|15278204|15278204|
Annual review of gerontology &amp; geriatrics.|99151287530001452|01988794|01988794|
Annual review of gerontology &amp; geriatrics.|99157849080001452|01988794|01988794|
Annual review of immunology [electronic resource].|99157806410001452|07320582|07320582|
Annual review of marine science.|99158484130001452|19411405|19411405|
Annual review of medicine [electronic resource].|99157805810001452|00664219|00664219|
Annual review of microbiology [electronic resource].|99157805820001452|00664227|00664227|
Annual review of neuroscience.|99157807140001452|0147006X|0147006X|
Annual review of nursing education.|99158193020001452|1542412X|1542412X|
Annual review of nursing research.|99158193310001452|07396686|07396686|
Annual review of nutrition.|99157807210001452|01999885|01999885|
Annual review of pathology : mechanisms of disease.|99158484110001452|15534006|15534006|
Annual review of pharmacology and toxicology [electronic resource].|99157879670001452|03621642|03621642|
Annual review of physical chemistry [electronic resource].|99157805830001452|0066426X|0066426X|
Annual review of physiology.|99157805840001452|00664278|00664278|
Annual review of phytopathology [electronic resource].|99157805300001452|00664286|00664286|
Annual review of plant biology [electronic resource].|99157806120001452|15435008|15435008|
Annual review of psychology.|99157805310001452|00664308|00664308|
Annual review of public health [electronic resource].|99157805990001452|01637525|01637525|
Annual review of virology.|99161879248201452|2327056X|2327056X|
Annual statistical supplement ... to the Social security bulletin.|99158465320001452|15530949|15530949|
Annual statistical supplement ... to the Social security bulletin.|99156345950001452|15530663|15530663|
Anthropologischer Anzeiger.|99158310880001452|00035548|00035548|
Anthropology &amp; medicine [electronic resource].|99157805750001452|13648470|13648470|
Anti-cancer drugs [electronic resource].|99158506080001452|09594973|09594973|
Antibiotics.|99160050260001452|20796382|20796382|
Antibodies.|99157420400001452|20734468|20734468|
Anticancer research.|99157649530001452|02507005|02507005|
Antimicrobial agents and chemotherapy [e-journal] : AAC.|99157649500001452|00664804|00664804|
Antioxidants &amp; redox signaling.|99157770880001452|15230864|15230864|
Antiviral chemistry &amp; chemotherapy.|99157576970001452|09563202|09563202|
Antiviral research.|99161967427501452|01663542|01663542|
Antiviral therapy.|99157594000001452|13596535|13596535|
Antonie van Leeuwenhoek [electronic resource].|99158517450001452|00036072|00036072|
Anxiety, stress, and coping [electronic resource].|99157803860001452|10615806|10615806|
AnÃ¤sthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie [electronic resource] : AINS.|99158511090001452|09392661|09392661|
Aphasiology [electronic resource].|99158205100001452|02687038|02687038|
Apoptosis [electronic resource].|99158517790001452|13608185|13608185|
Aporia.|99157365630001452|19181345|19181345|
Aporia.|99147124880001452|19181345|19181345|
Appetite [electronic resource].|99161967411801452|01956663|01956663|
Applied &amp; translational genomics.|99157439710001452|22120661|22120661|
Applied and environmental microbiology [e-journal] : AEM.|99157649480001452|00992240|00992240|
Applied biochemistry and biotechnology [electronic resource] : ABAB.|99158476340001452|02732289|02732289|
Applied bionics and biomechanics.|99161833756001452|11762322|11762322|
Applied cardiopulmonary pathophysiology : ACP.|99157352620001452|09205268|09205268|
Applied clinical informatics [electronic resource].|99161958027301452|18690327|18690327|
Applied cognitive psychology [electronic resource].|99157803560001452|08884080|08884080|
Applied ergonomics.|99161967532501452|00036870|00036870|
Applied health economics and health policy.|99158514560001452|11755652|11755652|
Applied immunohistochemistry &amp; molecular morphology [electronic resource] : AIMM / official publication of the Society for Applied Immunohistochemistry.|99158506870001452|15412016|15412016|
Applied immunohistochemistry [electronic resource] : official publication of the Society for Applied Immunohistochemistry.|99158506940001452|10623345|10623345|
Applied microbiology and biotechnology.|99157802650001452|01757598|01757598|
Applied nursing research [electronic resource].|99161966721601452|08971897|08971897|
Applied optics|99158507730001452|00036935|00036935|
Applied physiology, nutrition, and metabolism = Physiologie appliquÃ©e, nutrition et mÃ©tabolisme.|99157860900001452|17155312|17155312|
Applied psychology. Health and well-being.|99157857850001452|17580846|17580846|
Applied psychophysiology and biofeedback.|99157804910001452|10900586|10900586|
Applied radiation and isotopes [electronic resource].|99161967441201452|09698043|09698043|
Applied radiology [electronic resource].|99157517130001452|01609963|01609963|
Applied spectroscopy [electronic resource].|99158507720001452|00037028|00037028|
Apunts : medicina de l'esport.|99157768260001452|18866581|18866581|
Aquatic toxicology [electronic resource].|99161967499201452|0166445X|0166445X|
Arab journal of gastroenterology.|99161967401201452|16871979|16871979|
Arab journal of urology.|99161852608101452|2090598X|2090598X|
Archaea : an international microbiological journal.|99157371110001452|14723646|14723646|
Archeia HellÄ“nikÄ“s iatrikÄ“s.|99157379400001452|11053992|11053992|
Architectural record.|99157803330001452|0003858X|0003858X|
Archiv der Pharmazie [electronic resource].|99158528370001452|03656233|03656233|
Archive of oncology / [Institute of Oncology Sremska Kamenica Yugoslavia].|99157389760001452|03547310|03547310|
Archives de peÌ&#x81;diatrie [electronic resource].|99161967443701452|0929693X|0929693X|
Archives internationales d'histoire des sciences.|99161959755001452|00039810|00039810|
Archives of Iranian medicine [electronic resource].|99157432720001452|10292977|10292977|
Archives of Pharmacy Practice.|99157386140001452|2045080X|2045080X|
Archives of animal nutrition.|99157803060001452|1745039X|1745039X|
Archives of biochemistry and biophysics : ABB.|99161967368001452|00039861|00039861|
Archives of cardiovascular diseases supplements [electronic resource].|99161967615501452|18786480|18786480|
Archives of cardiovascular diseases.|99157440040001452|18752136|18752136|
Archives of cardiovascular imaging.|99159695100001452|23225327|23225327|
