Title	MMSID	ISSN	ISSN1	ISSN		
"Alzheimer's and dementia: diagnosis, assessment and disease monitoring."	99161871078101452		2352-8729			
Alzheimer's and dementia: Translational research and clinical interventions.	99161871084801452		2352-8737			
Alzheimer's care quarterly.			1550-3240			
Alzheimer's care today.	99161941798701452	1936-3001	1936-6760	1936-3001		
Alzheimer's disease research journal.		1935-2514		1935-2514		
Alzheimer's research and therapy.	99157228930001452		1758-9193			
AMA journal of ethics.			2376-6980			
AMB express.	99157229540001452		2191-0855			
Ambio.	99158308470001452	0044-7447	1654-7209	0044-7447		
Ambix.	99157806790001452	0002-6980		0002-6980		
Ambulatory child health: the journal of general and community pediatrics.	99157806930001452	1355-5626	1467-0658	1355-5626		
Ambulatory pediatrics: the official journal of the Ambulatory Pediatric Association.	99158193660001452	1530-1567	1539-4409	1530-1567		
Ambulatory surgery.	99157626430001452	0966-6532		0966-6532		
American annals of the deaf.	99158193450001452	0002-726X		0002-726X		
American documentation.	99157888150001452	0096-946X	1936-6108	0096-946X		
American economic review.	99157674660001452	0002-8282		0002-8282		
American family physician.	99157594280001452	0002-838X	1532-0650	0002-838X		
American health and drug benefits.	99158210870001452	1942-2962	1942-2970	1942-2962		
American Heart Hospital journal.	99157618070001452	1541-9215	1751-7168	1541-9215		
American heart journal.	99158433270001452	0002-8703	1097-6744	0002-8703		
American Indian and Alaska native mental health research.			1533-7731			
American journal of Alzheimer's Disease and other dementias.	99158501190001452	1533-3175	1938-2731	1533-3175		
American journal of audiology.	99157806740001452	1059-0889	1558-9137	1059-0889		
American journal of biochemistry and biotechnology.	99157345040001452	1553-3468		1553-3468		
American journal of biochemistry and molecular biology.	99157762310001452	2150-4210	2150-4253	2150-4210		
American journal of bioethics : AJOB.	99157805660001452	1526-5161	1536-0075	1526-5161		
American journal of blood research.	99157399500001452		2160-1992			
American journal of botany.	99157650080001452	0002-9122	1537-2197	0002-9122		
American journal of cancer.	99161787686901452	0099-7374		0099-7374		
American journal of cancer research.	99157385340001452		2156-6976			
American journal of cardiology.	99158435870001452	0002-9149	1879-1913	0002-9149		
American journal of cardiovascular disease.	99157399510001452		2160-200X			
"American journal of cardiovascular drugs: drugs, devices, and other interventions."	99158518110001452	1175-3277	1179-187X	1175-3277		
American journal of case reports.	99157630310001452		1941-5923			
American journal of Chinese medicine.	99157805610001452	0192-415X		0192-415X		
American journal of clinical and experimental immunology.	99157418120001452		2164-7712			
American journal of clinical dermatology.	99157806520001452	1175-0561	1179-1888	1175-0561		
American journal of clinical hypnosis.	 	0002-9157	2160-0562	0002-9157		
American journal of clinical nutrition. American Society for nutrition & American Society for Clinical Nutrition.	99157513590001452	0002-9165	1938-3207	0002-9165		
American journal of clinical oncology: cancer clincal trials.	99158507150001452	0277-3732	1537-453X	0277-3732		
American journal of clinical pathology. American Society of Clinical Pathologists.	99157649350001452	0002-9173	1943-7722	0002-9173		
American journal of community psychology.	99158269050001452	0091-0562	1573-2770	0091-0562		
"American journal of critical care : an official publication, American Association of Critical-Care Nurses."	99157491110001452	1062-3264	1937-710X	1062-3264		
American journal of dentistry.		0894-8275		0894-8275		
American journal of dermatopathology.	99158506340001452	0193-1091	1533-0311	0193-1091		
American journal of disaster medicine.		1932-149X		1932-149X		
American journal of drug and alcohol abuse.	99157807240001452	0095-2990	1097-9891	0095-2990		
American journal of drug delivery.	99157805370001452	1175-9038	2230-6072	1175-9038		
American journal of drug discovery and development.	99157762300001452	2150-427X	2150-4296	2150-427X		
American journal of emergency medicine.	99158435890001452	0735-6757	1532-8171	0735-6757		
American journal of epidemiology.	99157513620001452	0002-9262	1476-6256	0002-9262		
American journal of family therapy.	99157805530001452	0192-6187	1521-0383	0192-6187		
American journal of forensic medicine and pathology.	99158506890001452	0195-7910	1533-404X	0195-7910		
American journal of forensic medicine and pathology.	99158506890001452	0195-7910	1533-404X	0195-7910		
American journal of forensic psychology.		0733-1290		0733-1290		
American journal of gastroenterology.	99158449440001452	0002-9270	1572-0241	0002-9270		
American journal of geriatric pharmacotherapy.	99158433820001452	1543-5946	1876-7761	1543-5946		
American journal of geriatric psychiatry.	99158449360001452	1064-7481	1545-7214	1064-7481		
American journal of health behavior.	99158192870001452	1087-3244	1945-7359	1087-3244		
American journal of health promotion : AJHP.	99161941364601452	0890-1171		0890-1171		
American journal of health-system pharmacy: AJHP: official journal of the American Society of HealthSystem Pharmacists. .	99157806110001452	1079-2082	1535-2900	1079-2082		
American journal of hematology.	99157792400001452	0361-8609	1096-8652	0361-8609		
American journal of hospice & palliative care.	99158519560001452	1049-9091	1938-2715	1049-9091		
American journal of human biology : the official journal of the Human Biology Council.	99158529300001452	1042-0533	1520-6300	1042-0533		
American journal of human genetics.	99157421180001452	0002-9297	1537-6605	0002-9297		
American journal of hypertension. American Society of Hypertension.	99157770540001452	0895-7061	1941-7225	0895-7061		
American journal of immunology.	99157345130001452	1553-619X		1553-619X		
American journal of industrial medicine.	99158527280001452	0271-3586	1097-0274	0271-3586		
American journal of infection control.	99158435590001452	0196-6553	1527-3296	0196-6553		
American journal of infectious diseases.	99157345030001452	1553-6203		1553-6203		
American journal of kidney diseases: the official journal of the National Kidney Foundation.	99158436660001452	0272-6386	1523-6838	0272-6386		
American journal of law & medicine.	99157805290001452	0098-8588		0098-8588		
American journal of lifestyle medicine.	99158518610001452	1559-8276	1559-8284	1559-8276		
American journal of managed care.	99157446840001452	1088-0224	1936-2692	1088-0224		
"American journal of medical genetics, Part B: Neuropsychiatric genetics."	99158528770001452	1552-4841	1552-485X	1552-4841		
"American journal of medical genetics, Part C: Seminars in medical genetics."	99158528780001452	1552-4868	1552-4876	1552-4868		
American journal of medical genetics. Part A.	99158528750001452	1552-4825	1552-4833	1552-4825		
American journal of medical quality : the official journal of the American College of Medical Quality.	99158501350001452	1062-8606	1555-824X	1062-8606		
American journal of medicine.	99158433630001452	0002-9343	1555-7162	0002-9343		
American journal of men's health.	99158520960001452	1557-9883	1557-9891	1557-9883		
American journal of nephrology.	99157770720001452	0250-8095	1421-9670	0250-8095		
American journal of neurodegenerative diseases.	99157419140001452		2165-591X			
American journal of neuroradiology.	99157513770001452	0195-6108	1936-959X	0195-6108		
American journal of nuclear medicine and molecular imaging.	99157395690001452		2160-8407			
American journal of nursing.	99157672640001452	0002-936X	1538-7488	0002-936X		
American journal of obstetrics and gynecology.	99158433610001452	0002-9378	1097-6868	0002-9378		
American journal of occupational therapy : official publication of American Occupational Therapy Association.	99158475250001452	0272-9490	1943-7676	0272-9490		
American journal of occupational therapy: official publication of the American Occupational Therapy Association.	99158475250001452	0272-9490	1943-7676	0272-9490		
American journal of ophthalmology.	99158433650001452	0002-9394	1879-1891	0002-9394		
American journal of orthodontics and dentofacial orthopedics.	99158432710001452	0889-5406	1097-6752	0889-5406		
American journal of orthopedics.	 	1078-4519	1934-3418	1078-4519		
American journal of orthopsychiatry.	99158529250001452	0002-9432	1939-0025	0002-9432		
American journal of otolaryngology - head and neck medicine and surgery.	99158433100001452	0196-0709	1532-818X	0196-0709		
American journal of pathology.	99157751770001452	0002-9440	1525-2191	0002-9440		
American journal of perinatology.	99158530710001452	0735-1631	1098-8785	0735-1631		
American journal of pharmaceutical education.	99157348170001452	0002-9459	1553-6467	0002-9459		
American journal of pharmacology and toxicology.	99157483850001452	1557-4962	1557-4970	1557-4962		
American journal of pharmacy benefits.	 	1945-4481	2164-2494	1945-4481		
American journal of physical anthropology.	99158529200001452	0002-9483	1096-8644	0002-9483		
American journal of physical medicine & rehabilitation.	99158507310001452	0894-9115	1537-7385	0894-9115		
American journal of physiology. Cell physiology.	99157503640001452	0363-6143	1522-1563	0363-6143		
American journal of physiology. Gastrointestinal and liver physiology.	99157520750001452	0193-1857	1522-1547	0193-1857		
American journal of physiology. Heart and circulatory physiology.	99157503650001452	0363-6135	1522-1539	0363-6135		
American journal of physiology. Lung cellular and molecular physiology.	99157510150001452	1040-0605	1522-1504	1040-0605		
"American journal of physiology. Regulatory, integrative and comparative physiology."	99157503680001452	0363-6119	1522-1490	0363-6119		
American journal of physiology. Renal physiology.	99157650490001452	1931-857X	1522-1466	1931-857X		
American journal of physiology: Endocrinology and metabolism.	99157513740001452	0193-1849	1522-1555	0193-1849		
American journal of physiology: Gastrointestinal and liver physiology.	99157520750001452	0193-1857	1522-1547	0193-1857		
American journal of preventive medicine.	99158433370001452	0749-3797	1873-2607	0749-3797		
American journal of primatology.	99158527250001452	0275-2565	1098-2345	0275-2565		
American journal of psychiatric rehabilitation.	99157805050001452	1548-7768	1548-7776	1548-7768		
American journal of psychiatry. .	99158269180001452	0002-953X	1535-7228	0002-953X		
American journal of psychoanalysis.	99158268900001452	0002-9548	1573-6741	0002-9548		
American journal of psychology.	99157675500001452	0002-9556	1939-8298	0002-9556		
American journal of psychotherapy.	99157806880001452	0002-9564		0002-9564		
American journal of public health.	99157805710001452	0090-0036	1541-0048	0090-0036		
American journal of reproductive immunology.	99157805440001452	1046-7408	1600-0897	1046-7408		
American journal of reproductive immunology and microbiology (AJRIM).	99162000841101452					
American journal of respiratory and critical care medicine.  .	99157650160001452	1073-449X	1535-4970	1073-449X		
American journal of respiratory cell and molecular biology.	99157491280001452	1044-1549	1535-4989	1044-1549		
American journal of rhinology and allergy.	99157751260001452	1945-8924	1945-8932	1945-8924		
American journal of roentgenology.	99157512600001452	0361-803X	1546-3141	0361-803X		
American journal of speech-language pathology.	99157859760001452	1058-0360	1558-9110	1058-0360		
American journal of sports medicine.	99158519450001452	0363-5465	1552-3365	0363-5465		
American journal of stem cells.	99157409140001452		2160-4150			
American journal of surgery.	99158433550001452	0002-9610	1879-1883	0002-9610		
American journal of surgical pathology.	99158507210001452	0147-5185	1532-0979	0147-5185		
American journal of the medical sciences.	99158312280001452	0002-9629	1538-2990	0002-9629		
American journal of therapeutics.	99158506120001452	1075-2765	1536-3686	1075-2765		
American journal of translational research.	99157365450001452		1943-8141			
American journal of transplantation.	99157780380001452	1600-6135	1600-6143	1600-6135		
American journal of tropical medicine and hygiene.	99157445750001452	0002-9637		0002-9637		
American journal of veterinary research.	 	0002-9645	1943-5681	0002-9645		
American journal on addictions.	99157806890001452	1055-0496	1521-0391	1055-0496		
American journal on intellectual and developmental disabilities.	99158485290001452	1944-7515	1944-7558	1944-7515		
American naturalist.	99157675900001452	0003-0147	1537-5323	0003-0147		
American nurse.	99157805860001452	0098-1486		0098-1486		
American orthoptic journal.	99157806070001452	0065-955X	1553-4448	0065-955X		
American pharmaceutical review.		1099-8012		1099-8012		
American psychologist.	99158253780001452	0003-066X	1935-990X	0003-066X		
American rehabilitation.	99157806660001452	0362-4048	2169-8554	0362-4048		
American Society of Clinical Oncology educational book.	 	1548-8748	1548-8756	1548-8748		
American surgeon.		0003-1348		0003-1348		
American University law review.	99157449720001452	0003-1453		0003-1453		
AMIA ... Annual symposium proceedings.			1942-597X			
Amino Acids.	 	0939-4451	1438-2199	0939-4451		
Amnesia vivace.	99147122990001452		1722-2737			
AMT events.	99158193600001452		0746-9217			
Amyloid: the international journal of experimental and clinical investigation.	99157805090001452	1350-6129	1744-2818	1350-6129		
Amyotrophic lateral sclerosis and frontotemporal degeneration.	99158476900001452	2167-8421	2167-9223	2167-8421		
Amyotrophic lateral sclerosis.			1471-180X			
Anadolu psikiyatri dergisi.	99157875180001452	1302-6631		1302-6631		
ANAE - Approche neuropsychologique des Apprentissages chez l'Enfant.		0999-792X		0999-792X		
Anaerobe.	99161967503101452	1075-9964	1095-8274	1075-9964		
Anaesthesia.	99157805480001452	0003-2409	1365-2044	0003-2409		
Anaesthesia and intensive care.	99157860340001452	0310-057X	1448-0271	0310-057X		
Anaesthesia and intensive care medicine.	99158434980001452	1472-0299	1878-7584	1472-0299		
Anaesthesia critical care and pain medicine.	99161826705801452		2352-5568			
"Anaesthesia, pain and intensive care."	99157418070001452	1607-8322		1607-8322		
Anaesthesiology and intensive care.		1310-4284		1310-4284		
Anaesthesiology intensive therapy.	 	1642-5758	1731-2531	1642-5758		
Anaesthesist.	 	0003-2417	1432-055X	0003-2417		
Anais Brasileiros de dermatologia.	99157350520001452	0365-0596	1806-4841	0365-0596		
Anais da Academia Brasileira de Ci???ncias.	99157350090001452	0001-3765	1678-2690	0001-3765		
Anales de la Real Academia Nacional de Farmacia.	99157301250001452	0034-0634	1697-428X	0034-0634		
Anales de pediatria.	99157320410001452	1695-4033	1695-9531	1695-4033		
Anales de pediatria continuada.	 	1696-2818	1696-4608	1696-2818		
Anales del Sistema Sanitario de Navarra.	99157318460001452	1137-6627		1137-6627		
