Title,MMSID,ISSN,ISSN1,,
American journal of drug delivery.,99157805370001400,1175-9038,2230-6072,,
American journal of drug discovery and development.,99157762300001400,2150-427X,2150-4296,,
American journal of emergency medicine.,99158435890001400,0735-6757,1532-8171,,
American journal of epidemiology.,99157513620001400,0002-9262,1476-6256,,
American journal of family therapy.,99157805530001400,0192-6187,1521-0383,,
American journal of forensic medicine and pathology.,99158506890001400,0195-7910,1533-404X,,
American journal of forensic medicine and pathology.,99158506890001400,0195-7910,1533-404X,,
American journal of forensic psychology.,,0733-1290,,,
American journal of gastroenterology.,99158449440001400,0002-9270,1572-0241,,
American journal of geriatric pharmacotherapy.,99158433820001400,1543-5946,1876-7761,,
American journal of geriatric psychiatry.,99158449360001400,1064-7481,1545-7214,,
American journal of health behavior.,99158192870001400,1087-3244,1945-7359,,
American journal of health promotion : AJHP.,99161941364601400,0890-1171,,,
American journal of health-system pharmacy: AJHP: official journal of the American Society of HealthSystem Pharmacists. .,99157806110001400,1079-2082,1535-2900,,
American journal of hematology.,99157792400001400,0361-8609,1096-8652,,
American journal of hospice & palliative care.,99158519560001400,1049-9091,1938-2715,,
American journal of human biology : the official journal of the Human Biology Council.,99158529300001400,1042-0533,1520-6300,,
American journal of human genetics.,99157421180001400,0002-9297,1537-6605,,
American journal of hypertension. American Society of Hypertension.,99157770540001400,0895-7061,1941-7225,,
American journal of immunology.,99157345130001400,1553-619X,,,
American journal of industrial medicine.,99158527280001400,0271-3586,1097-0274,,
American journal of infection control.,99158435590001400,0196-6553,1527-3296,,
American journal of infectious diseases.,99157345030001400,1553-6203,,,
American journal of kidney diseases: the official journal of the National Kidney Foundation.,99158436660001400,0272-6386,1523-6838,,
American journal of law & medicine.,99157805290001400,0098-8588,,,
American journal of lifestyle medicine.,99158518610001400,1559-8276,1559-8284,,
American journal of managed care.,99157446840001400,1088-0224,1936-2692,,
"American journal of medical genetics, Part B: Neuropsychiatric genetics.",99158528770001400,1552-4841,1552-485X,,
"American journal of medical genetics, Part C: Seminars in medical genetics.",99158528780001400,1552-4868,1552-4876,,
American journal of medical genetics. Part A.,99158528750001400,1552-4825,1552-4833,,
American journal of medical quality : the official journal of the American College of Medical Quality.,99158501350001400,1062-8606,1555-824X,,
American journal of medicine.,99158433630001400,0002-9343,1555-7162,,
American journal of men's health.,99158520960001400,1557-9883,1557-9891,,
American journal of nephrology.,99157770720001400,0250-8095,1421-9670,,
American journal of neurodegenerative diseases.,99157419140001400,,2165-591X,,
American journal of neuroradiology.,99157513770001400,0195-6108,1936-959X,,
American journal of nuclear medicine and molecular imaging.,99157395690001400,,2160-8407,,
American journal of nursing.,99157672640001400,0002-936X,1538-7488,,
American journal of obstetrics and gynecology.,99158433610001400,0002-9378,1097-6868,,
American journal of occupational therapy : official publication of American Occupational Therapy Association.,99158475250001400,0272-9490,1943-7676,,
American journal of occupational therapy: official publication of the American Occupational Therapy Association.,99158475250001400,0272-9490,1943-7676,,
American journal of ophthalmology.,99158433650001400,0002-9394,1879-1891,,
American journal of orthodontics and dentofacial orthopedics.,99158432710001400,0889-5406,1097-6752,,
American journal of orthopedics., ,1078-4519,1934-3418,,
American journal of orthopsychiatry.,99158529250001400,0002-9432,1939-0025,,
American journal of otolaryngology - head and neck medicine and surgery.,99158433100001400,0196-0709,1532-818X,,
American journal of pathology.,99157751770001400,0002-9440,1525-2191,,
American journal of perinatology.,99158530710001400,0735-1631,1098-8785,,
American journal of pharmaceutical education.,99157348170001400,0002-9459,1553-6467,,
American journal of pharmacology and toxicology.,99157483850001400,1557-4962,1557-4970,,
American journal of pharmacy benefits., ,1945-4481,2164-2494,,
American journal of physical anthropology.,99158529200001400,0002-9483,1096-8644,,
American journal of physical medicine & rehabilitation.,99158507310001400,0894-9115,1537-7385,,
American journal of physiology. Cell physiology.,99157503640001400,0363-6143,1522-1563,,
American journal of physiology. Gastrointestinal and liver physiology.,99157520750001400,0193-1857,1522-1547,,
American journal of physiology. Heart and circulatory physiology.,99157503650001400,0363-6135,1522-1539,,
American journal of physiology. Lung cellular and molecular physiology.,99157510150001400,1040-0605,1522-1504,,
"American journal of physiology. Regulatory, integrative and comparative physiology.",99157503680001400,0363-6119,1522-1490,,
American journal of physiology. Renal physiology.,99157650490001400,1931-857X,1522-1466,,
American journal of physiology: Endocrinology and metabolism.,99157513740001400,0193-1849,1522-1555,,
American journal of physiology: Gastrointestinal and liver physiology.,99157520750001400,0193-1857,1522-1547,,
American journal of preventive medicine.,99158433370001400,0749-3797,1873-2607,,
American journal of primatology.,99158527250001400,0275-2565,1098-2345,,
American journal of psychiatric rehabilitation.,99157805050001400,1548-7768,1548-7776,,
American journal of psychiatry. .,99158269180001400,0002-953X,1535-7228,,
American journal of psychoanalysis.,99158268900001400,0002-9548,1573-6741,,
American journal of psychology.,99157675500001400,0002-9556,1939-8298,,
American journal of psychotherapy.,99157806880001400,0002-9564,,,
American journal of public health.,99157805710001400,0090-0036,1541-0048,,
American journal of reproductive immunology.,99157805440001400,1046-7408,1600-0897,,
American journal of reproductive immunology and microbiology (AJRIM).,99162000841101400,,,,
American journal of respiratory and critical care medicine.  .,99157650160001400,1073-449X,1535-4970,,
American journal of respiratory cell and molecular biology.,99157491280001400,1044-1549,1535-4989,,
American journal of rhinology and allergy.,99157751260001400,1945-8924,1945-8932,,
American journal of roentgenology.,99157512600001400,0361-803X,1546-3141,,
American journal of speech-language pathology.,99157859760001400,1058-0360,1558-9110,,
American journal of sports medicine.,99158519450001400,0363-5465,1552-3365,,
American journal of stem cells.,99157409140001400,,2160-4150,,
American journal of surgery.,99158433550001400,0002-9610,1879-1883,,
American journal of surgical pathology.,99158507210001400,0147-5185,1532-0979,,
American journal of the medical sciences.,99158312280001400,0002-9629,1538-2990,,
American journal of therapeutics.,99158506120001400,1075-2765,1536-3686,,
American journal of translational research.,99157365450001400,,1943-8141,,
American journal of transplantation.,99157780380001400,1600-6135,1600-6143,,
American journal of tropical medicine and hygiene.,99157445750001400,0002-9637,,,
American journal of veterinary research., ,0002-9645,1943-5681,,
American journal on addictions.,99157806890001400,1055-0496,1521-0391,,
American journal on intellectual and developmental disabilities.,99158485290001400,1944-7515,1944-7558,,
American naturalist.,99157675900001400,0003-0147,1537-5323,,
American nurse.,99157805860001400,0098-1486,,,
American orthoptic journal.,99157806070001400,0065-955X,1553-4448,,
American pharmaceutical review.,,1099-8012,,,
American psychologist.,99158253780001400,0003-066X,1935-990X,,
American rehabilitation.,99157806660001400,0362-4048,2169-8554,,
American Society of Clinical Oncology educational book., ,1548-8748,1548-8756,,
American surgeon.,,0003-1348,,,
American University law review.,99157449720001400,0003-1453,,,
AMIA ... Annual symposium proceedings.,,,1942-597X,,
Amino Acids., ,0939-4451,1438-2199,,
Amnesia vivace.,99147122990001400,,1722-2737,,
AMT events.,99158193600001400,,0746-9217,,
Amyloid: the international journal of experimental and clinical investigation.,99157805090001400,1350-6129,1744-2818,,
Amyotrophic lateral sclerosis and frontotemporal degeneration.,99158476900001400,2167-8421,2167-9223,,
Amyotrophic lateral sclerosis.,,,1471-180X,,
Anadolu psikiyatri dergisi.,99157875180001400,1302-6631,,,
ANAE - Approche neuropsychologique des Apprentissages chez l'Enfant.,,0999-792X,,,
Anaerobe.,99161967503101400,1075-9964,1095-8274,,
Anaesthesia.,99157805480001400,0003-2409,1365-2044,,
Anaesthesia and intensive care.,99157860340001400,0310-057X,1448-0271,,
Anaesthesia and intensive care medicine.,99158434980001400,1472-0299,1878-7584,,
Anaesthesia critical care and pain medicine.,99161826705801400,,2352-5568,,
"Anaesthesia, pain and intensive care.",99157418070001400,1607-8322,,,
Anaesthesiology and intensive care.,,1310-4284,,,
Anaesthesiology intensive therapy., ,1642-5758,1731-2531,,
Anaesthesist., ,0003-2417,1432-055X,,
Anais Brasileiros de dermatologia.,99157350520001400,0365-0596,1806-4841,,
Anais da Academia Brasileira de Ci?ôncias.,99157350090001400,0001-3765,1678-2690,,
Anales de la Real Academia Nacional de Farmacia.,99157301250001400,0034-0634,1697-428X,,
Anales de pediatria.,99157320410001400,1695-4033,1695-9531,,
Anales de pediatria continuada., ,1696-2818,1696-4608,,
Anales del Sistema Sanitario de Navarra.,99157318460001400,1137-6627,,,
Analyses of social issues and public policy.,99157805400001400,1529-7489,1530-2415,,
Analyst.,99158502760001400,0003-2654,1364-5528,,
Analytica chimica acta.,99161967442001400,0003-2670,1873-4324,,
Analytical and bioanalytical chemistry.,99157806450001400,1618-2642,1618-2650,,
Analytical and quantitative cytology and histology.,,0884-6812,,,
Analytical biochemistry.,99161967431001400,0003-2697,1096-0309,,
Analytical cellular pathology.,99157852090001400,2210-7177,2210-7185,,
Analytical cellular pathology.,99157806590001400,0921-8912,1878-3651,,
Analytical chemistry.,99158485220001400,0003-2700,1520-6882,,
Analytical sciences.,99157331970001400,0910-6340,1348-2246,,
Anasthesiologie intensivmedizin notfallmedizin schmerztherapie.,99158511090001400,0939-2661,1439-1074,,
Anasthesiologie und intensivmedizin., ,0170-5334,1439-0256,,
Anatolian journal of cardiology.,99161964234601400,2149-2263,2149-2271,,
Anatolian journal of clinical investigation.,99157617720001400,1306-8814,1307-1173,,
"Anatomia, histologia, embryologia.",99157806980001400,0340-2096,1439-0264,,
Anatomical record.,99158528620001400,0003-276X,1097-0185,,
"Anatomical record. Part A, Discoveries in molecular, cellular, and evolutionary biology.",99158528810001400,1552-4884,1552-4892,,
"Anatomical record. Part B, New anatomist.",99158527860001400,1552-4906,1552-4914,,
Anatomical record: advances in integrative anatomy and evolutionary biology.,99157792370001400,1932-8486,1932-8494,,
Anatomical science international.,99157807030001400,1447-6959,1447-073X,,
Anatomical sciences education.,99158528470001400,1935-9772,1935-9780,,
Andrologia.,99157807010001400,0303-4569,1439-0272,,
Andrology.,99158528570001400,2047-2919,2047-2927,,
Anestezi dergisi.,,1300-0578,,,
Anesteziologie a intenzivni medicina.,99157875040001400,1214-2158,,,
Anesteziologiia i reanimatologiia.,,0201-7563,,,
Anesthesia and analgesia.,99157512740001400,0003-2999,1526-7598,,
Anesthesia and resuscitation.,,0385-1664,,,
Anesthesia progress.,99161771335401400,0003-3006,1878-7177,,
Anesthesie et reanimation., ,2352-5800,2352-5819,,
Anesthesiology.,99157444240001400,0003-3022,1528-1175,,
Anesthesiology and pain medicine.,99161771335301400,2228-7523,2228-7531,,
Anesthesiology clinics.,99158436090001400,1932-2275,2210-3538,,
Anesthesiology research and practice.,99157371860001400,1687-6962,1687-6970,,
Angeiologie.,,0003-3049,,,
Angewandte chemie.,99158527500001400,1433-7851,1521-3773,,
Angiogenesis.,99158930840001400,0969-6970,1573-7209,,
Angiologia.,99157319480001400,0003-3170,1695-2987,,
Angiologia e crurgia vascular.,99157407220001400,1646-706X,2183-0096,,
Angiologii‘?Üa‘?∞ i sosudistai‘?Üa‘?∞ khirurgii‘?Üa‘?∞ = Angiology and vascular surgery.,,1027-6661,,,
Angiology.,99158520600001400,0003-3197,1940-1574,,
Angle orthodontist.,99157349210001400,0003-3219,1945-7103,,
Anil Aggrawal's internet journal of forensic medicine and toxicology.,99157353430001400,0972-8066,0972-8074,,
Animal : an international journal of animal bioscience.,99158481250001400,1751-7311,1751-732X,,
Animal biotechnology.,99157807170001400,1049-5398,1532-2378,,
Animal cognition.,99158517540001400,1435-9448,1435-9456,,
Animal genetics.,99157807310001400,0268-9146,1365-2052,,
Animal health research reviews.,99161948353601400,1466-2523,1475-2654,,
Animal reproduction science.,99161967474801400,0378-4320,1873-2232,,
Animal science journal.,99157805680001400,,1740-0929,,
Animal technology and welfare.,,1742-0385,,,
Animal welfare.,,0962-7286,,,
Ankara Universitesi eczacilik fakultesi dergisi.,,1015-3918,,,
Annalen der pharmacie.,99162000840501400,,0365-5490,,
Annales Academiae Medicae Stetinensis.,,1427-440X,,,
Annales de biologie clinique., ,0003-3898,1950-6112,,
Annales de cardiologie et d'angeiologie.,99161967431701400,0003-3928,1768-3181,,
Annales de chirurgie plastique et esthÈtique.,99161967465701400,0294-1260,1768-319X,,
Annales de dermatologie et de venereologie.,,0151-9638,,,
Annales de pathologie.,,0242-6498,,,
Annales d'endocrinologie.,99161870870901400,0003-4266,,,
Annales Francaises de medecine d'urgence., ,2108-6524,2108-6591,,
Annales medico-psychologiques.,99161967396701400,0003-4487,1769-6631,,
Annales pharmaceutiques Francaises.,,0003-4509,,,
Annales Universitatis Mariae Curie-Sk?«odowska. Sectio D: medicina.,,0066-2240,,,
Annali dell'Istituto Superiore di Sanit‡.,99157370270001400,0021-2571,,,
Annali di igiene : medicina preventiva e di comunit?Ü.,,1120-9135,,,
Annali italiani di chirurgia.,99157637420001400,0003-469X,2239-253X,,
Annali Italiani di dermatologia allergologica clinica e sperimentale.,,1592-6826,,,
Annals of advances in automotive medicine.,99161771335201400,1943-2461,,,
Annals of African medicine.,99157212560001400,1596-3519,0975-5764,,
Annals of African surgery.,,1999-9674,,,
Annals of agricultural and environmental medicine.,99157350330001400,1232-1966,1898-2263,,
"Annals of allergy, asthma and immunology.",99158434970001400,1081-1206,1534-4436,,
